CUSIP,Trade_ID,Book,Price,Quantity,Side
912828M72,T1,TRSY1,100-116,10000000,SELL
912828N22,T2,TRSY2,99-001,70000000,SELL
912828M98,T3,TRSY3,100-102,80000000,SELL
912828M80,T4,TRSY1,99-215,10000000,SELL
912828M56,T5,TRSY2,100-103,70000000,SELL
912810RP5,T6,TRSY3,100-110,60000000,BUY
912828M72,T7,TRSY1,99-112,40000000,SELL
912828N22,T8,TRSY2,99-313,90000000,SELL
912828M98,T9,TRSY3,99-305,70000000,BUY
912828M80,T10,TRSY1,100-11+,10000000,BUY
912828M56,T11,TRSY2,100-010,80000000,BUY
912810RP5,T12,TRSY3,100-10+,10000000,SELL
912828M72,T13,TRSY1,99-115,10000000,SELL
912828N22,T14,TRSY2,99-003,70000000,BUY
912828M98,T15,TRSY3,99-000,50000000,BUY
912828M80,T16,TRSY1,99-213,20000000,BUY
912828M56,T17,TRSY2,100-110,40000000,BUY
912810RP5,T18,TRSY3,99-106,70000000,SELL
912828M72,T19,TRSY1,100-111,90000000,SELL
912828N22,T20,TRSY2,100-015,40000000,BUY
912828M98,T21,TRSY3,100-210,90000000,BUY
912828M80,T22,TRSY1,100-313,40000000,BUY
912828M56,T23,TRSY2,100-201,60000000,SELL
912810RP5,T24,TRSY3,100-206,30000000,BUY
912828M72,T25,TRSY1,99-103,60000000,SELL
912828N22,T26,TRSY2,100-113,10000000,BUY
912828M98,T27,TRSY3,100-213,40000000,BUY
912828M80,T28,TRSY1,99-012,20000000,BUY
912828M56,T29,TRSY2,100-316,60000000,SELL
912810RP5,T30,TRSY3,99-300,40000000,SELL
912828M72,T31,TRSY1,99-106,10000000,BUY
912828N22,T32,TRSY2,100-011,50000000,SELL
912828M98,T33,TRSY3,99-203,30000000,SELL
912828M80,T34,TRSY1,99-015,30000000,SELL
912828M56,T35,TRSY2,100-012,50000000,BUY
912810RP5,T36,TRSY3,99-305,90000000,SELL
912828M72,T37,TRSY1,99-20+,70000000,BUY
912828N22,T38,TRSY2,100-200,50000000,BUY
912828M98,T39,TRSY3,100-30+,90000000,BUY
912828M80,T40,TRSY1,100-01+,40000000,SELL
912828M56,T41,TRSY2,100-212,90000000,SELL
912810RP5,T42,TRSY3,99-200,20000000,SELL
912828M72,T43,TRSY1,99-201,40000000,BUY
912828N22,T44,TRSY2,100-203,50000000,BUY
912828M98,T45,TRSY3,99-315,70000000,BUY
912828M80,T46,TRSY1,100-106,80000000,BUY
912828M56,T47,TRSY2,100-103,10000000,SELL
912810RP5,T48,TRSY3,100-00+,80000000,SELL
912828M72,T49,TRSY1,100-312,90000000,SELL
912828N22,T50,TRSY2,99-312,20000000,SELL
912828M98,T51,TRSY3,99-300,60000000,SELL
912828M80,T52,TRSY1,99-315,20000000,SELL
912828M56,T53,TRSY2,100-113,10000000,BUY
912810RP5,T54,TRSY3,100-200,40000000,BUY
912828M72,T55,TRSY1,99-111,10000000,SELL
912828N22,T56,TRSY2,100-01+,20000000,BUY
912828M98,T57,TRSY3,100-300,30000000,SELL
912828M80,T58,TRSY1,99-101,10000000,SELL
912828M56,T59,TRSY2,99-016,70000000,BUY
912810RP5,T60,TRSY3,100-310,20000000,BUY
